date_id;DateFormatStandard;Commentaire
1;27/10/1994 21:45;NULL
2;17/09/1984 08:07;NULL
3;19/07/1988 14:55;NULL
4;09/11/1991 13:55;NULL
5;15/09/1985 18:25;NULL
6;07/09/1989 19:50;NULL
7;22/11/1994 16:45;NULL
8;01/07/1992 18:15;NULL
9;22/01/1984 10:55;NULL
10;23/04/1984 12:05;Jour férié : Lundi de Pâques
11;12/07/1984 14:05;NULL
12;29/11/1985 21:05;NULL
13;05/05/1986 11:10;NULL
14;08/11/1987 15:05;NULL
15;07/01/1985 18:10;NULL
16;08/09/1989 20:08;NULL
17;31/01/1984 19:30;NULL
18;15/05/1984 17:30;NULL
19;12/07/1995 19:15;NULL
20;21/02/1992 08:25;NULL
21;20/09/1997 21:00;NULL
22;28/05/1986 16:30;NULL
23;16/03/1995 08:50;NULL
24;23/01/1996 12:45;NULL
25;23/04/1989 11:20;NULL
26;18/12/1990 08:20;NULL
27;25/05/1996 13:05;NULL
28;09/10/1992 18:30;NULL
29;22/09/1988 17:25;NULL
30;21/09/1992 22:35;NULL
31;23/05/1985 13:20;NULL
32;30/04/1990 15:30;NULL
33;18/02/1998 08:30;NULL
34;03/12/1984 15:00;NULL
35;05/11/1990 06:20;NULL
36;23/10/1990 12:15;NULL
37;29/04/1994 18:15;NULL
38;09/05/1992 16:00;NULL
39;16/02/1984 08:45;NULL
40;18/03/1995 00:01;NULL
41;04/07/1996 14:25;NULL
42;21/09/1992 11:30;NULL
43;14/09/1988 16:05;NULL
44;07/02/1991 21:25;NULL
45;02/01/1984 13:05;NULL
46;26/06/1984 16:30;NULL
47;06/12/1996 08:15;NULL
48;25/05/1991 16:05;NULL
49;14/05/1989 14:35;NULL
50;02/01/1995 10:30;NULL
51;09/01/1998 15:10;NULL
52;10/05/1988 17:30;NULL
53;17/04/1985 15:10;NULL
54;08/09/1991 19:50;NULL
55;08/01/1986 20:35;NULL
56;15/12/1995 18:55;NULL
57;26/01/1984 17:30;NULL
58;22/10/1986 18:45;NULL
59;05/04/1991 14:30;NULL
60;18/12/1995 21:00;NULL
61;04/05/1993 06:45;NULL
62;14/11/1995 05:20;NULL
63;07/04/1984 11:45;NULL
64;02/02/1984 18:15;NULL
65;16/10/1986 19:40;NULL
66;03/06/1997 20:30;NULL
67;19/07/1995 16:40;NULL
68;25/07/1984 20:10;NULL
69;11/06/1988 13:50;NULL
70;25/09/1990 19:10;NULL
71;06/06/1991 06:50;NULL
72;29/03/1992 15:50;NULL
73;22/05/1984 19:10;NULL
74;16/07/1990 16:15;NULL
75;19/03/1993 20:35;NULL
76;21/11/1987 11:30;NULL
77;26/09/1986 17:00;NULL
78;21/04/1987 17:05;NULL
79;02/10/1991 17:20;NULL
80;27/05/1992 13:55;NULL
81;03/02/1992 08:00;NULL
82;21/06/1989 18:15;NULL
83;21/06/1990 15:25;NULL
84;26/11/1990 18:55;NULL
85;01/02/1984 12:30;NULL
86;20/02/1984 07:40;NULL
87;30/04/1984 20:15;NULL
88;28/05/1984 13:40;NULL
89;10/05/1985 13:50;NULL
90;27/09/1985 22:25;NULL
91;27/05/1987 02:25;NULL
92;30/05/1987 23:15;NULL
93;12/11/1987 15:40;NULL
94;12/11/1987 15:41;NULL
95;06/02/1988 10:20;NULL
96;28/03/1988 13:25;NULL
97;05/05/1988 19:15;NULL
98;17/09/1990 06:40;NULL
99;22/04/1991 02:40;NULL
100;04/12/1991 21:00;NULL
101;22/11/1992 01:50;NULL
102;28/02/1984 21:00;NULL
103;05/08/1984 01:50;NULL
104;16/12/1984 05:20;NULL
105;25/05/1985 11:50;NULL
106;31/05/1986 06:00;NULL
107;29/07/1987 21:20;NULL
108;06/02/1988 22:35;NULL
109;02/09/1989 04:30;NULL
110;26/01/1991 05:35;NULL
111;02/03/1991 23:20;NULL
112;27/09/1992 06:10;NULL
113;24/12/1992 16:25;NULL
114;31/08/1993 23:10;NULL
115;07/01/1996 02:27;NULL
116;04/03/1997 01:00;NULL
117;28/11/1997 15:05;NULL
118;28/12/1997 03:25;NULL
119;17/03/1987 20:25;NULL
120;03/03/1989 16:40;NULL
121;16/06/1992 19:10;NULL
122;09/09/1986 20:50;NULL
123;27/10/1993 17:35;NULL
124;01/12/1985 12:05;NULL
125;08/04/1989 19:30;NULL
126;02/01/1997 18:05;NULL
127;02/05/1997 18:10;NULL
128;16/09/1997 18:20;NULL
129;06/04/1990 16:35;NULL
130;16/11/1990 19:10;NULL
131;01/04/1997 17:30;NULL
132;17/04/1984 17:15;NULL
133;14/02/1986 19:50;NULL
134;30/10/1991 13:10;NULL
135;18/03/1985 19:40;NULL
136;16/12/1993 08:20;NULL
137;04/11/1993 17:40;NULL
138;20/10/1994 09:45;NULL
139;27/06/1996 13:35;NULL
140;18/05/1986 18:30;NULL
141;08/03/1992 19:20;NULL
142;03/10/1984 19:20;NULL
143;22/01/1994 10:05;NULL
144;31/03/1991 14:10;NULL
145;26/09/1991 17:00;NULL
146;13/05/1987 18:30;NULL
147;10/05/1994 18:10;NULL
148;07/03/1995 19:10;NULL
149;24/01/1986 18:05;NULL
150;22/03/1986 14:35;NULL
151;23/09/1990 15:20;NULL
152;05/03/1988 23:10;NULL
153;14/09/1988 14:10;NULL
154;22/01/1997 13:50;NULL
155;08/11/1984 20:25;NULL
156;29/09/1985 10:15;NULL
157;03/01/1986 20:35;NULL
158;29/09/1995 21:20;NULL
159;22/10/1987 12:30;NULL
160;16/12/1987 20:10;NULL
161;18/05/1990 17:00;NULL
162;29/05/1988 05:20;NULL
163;20/12/1988 07:55;NULL
164;22/01/1990 20:25;NULL
165;14/06/1990 01:20;NULL
166;05/07/1990 18:35;NULL
167;07/02/1991 21:20;NULL
168;07/01/1993 13:05;NULL
169;04/11/1985 10:15;NULL
170;03/11/1987 11:40;NULL
171;13/01/1994 13:15;NULL
172;25/11/1996 11:30;NULL
173;21/05/1992 07:50;NULL
174;02/08/1986 17:15;NULL
175;19/09/1992 22:25;NULL
176;07/10/1994 17:35;NULL
177;02/06/1995 17:45;NULL
178;15/07/1985 16:15;NULL
179;25/06/1990 17:55;NULL
180;10/06/1991 17:25;NULL
181;05/10/1991 16:55;NULL
182;10/04/1994 14:05;NULL
183;26/05/1995 16:35;NULL
184;25/10/1985 12:40;NULL
185;27/03/1986 19:30;NULL
186;28/04/1989 12:05;NULL
187;26/11/1991 09:25;NULL
188;13/12/1995 15:45;NULL
189;06/06/1989 16:55;NULL
190;20/12/1989 12:15;NULL
191;08/11/1992 12:45;NULL
192;25/03/1995 10:00;NULL
193;10/04/1995 17:15;NULL
194;26/12/1985 22:40;NULL
195;26/01/1988 19:00;NULL
196;03/11/1986 07:00;NULL
197;11/01/1995 14:45;NULL
198;17/10/1987 13:40;NULL
199;12/01/1986 15:20;NULL
200;22/06/1986 02:50;NULL
201;14/04/1987 08:05;NULL
202;13/12/1991 16:45;NULL
203;19/12/1986 13:00;NULL
204;12/12/1984 17:55;NULL
205;06/01/1985 23:20;NULL
206;03/07/1991 01:55;NULL
207;22/02/1993 18:15;NULL
208;08/09/1994 17:55;NULL
209;29/08/1996 11:15;NULL
210;06/02/1997 17:10;NULL
211;30/01/1998 08:30;NULL
212;05/01/1986 12:05;NULL
213;17/05/1986 11:45;NULL
214;21/12/1996 03:20;NULL
215;06/06/1989 17:20;NULL
216;14/08/1985 11:55;NULL
217;30/07/1988 22:40;NULL
218;03/09/1989 20:40;NULL
219;25/03/1990 18:10;NULL
220;03/06/1994 19:45;NULL
221;07/08/1985 09:30;NULL
222;22/08/1986 17:05;NULL
223;24/03/1987 18:35;NULL
224;29/07/1992 11:45;NULL
225;08/09/1997 14:05;NULL
226;28/06/1990 18:00;NULL
227;17/11/1984 23:55;NULL
228;08/03/1989 11:25;NULL
229;24/07/1992 00:40;NULL
230;20/11/1997 11:30;NULL
231;02/10/1988 02:20;NULL
232;18/01/1990 14:20;NULL
233;23/10/1986 19:20;NULL
234;10/11/1989 13:10;NULL
235;28/12/1989 08:30;NULL
236;10/04/1994 13:15;NULL
237;04/02/1986 13:15;NULL
238;21/01/1988 19:00;NULL
239;05/03/1997 20:10;NULL
240;02/05/1990 14:20;NULL
241;02/07/1986 17:18;NULL
242;23/10/1987 10:00;NULL
243;10/10/1988 17:20;NULL
244;27/10/1984 17:55;NULL
245;10/01/1994 11:40;NULL
246;26/02/1996 09:15;NULL
247;24/07/1996 15:50;NULL
248;18/05/1985 23:55;NULL
249;28/09/1991 18:10;NULL
250;26/05/1996 21:00;NULL
251;31/10/1992 08:35;NULL
252;14/11/1992 09:00;NULL
253;16/05/1987 13:00;NULL
254;26/05/1985 13:10;NULL
255;05/04/1991 16:45;NULL
256;25/07/1995 16:15;NULL
257;26/03/1991 13:15;NULL
258;17/03/1994 08:20;NULL
259;29/09/1987 08:25;NULL
260;07/06/1991 15:30;NULL
261;31/03/1988 08:35;NULL
262;16/01/1987 16:50;NULL
263;18/02/1988 15:50;NULL
264;17/03/1993 12:30;NULL
265;11/07/1993 18:30;NULL
266;04/04/1997 17:15;NULL
267;11/01/1984 18:20;NULL
268;05/12/1986 06:50;NULL
269;17/09/1986 13:10;NULL
270;19/11/1986 19:25;NULL
271;29/09/1991 18:45;NULL
272;16/03/1986 11:20;NULL
273;15/08/1990 17:20;Jour férié : Assomption
274;01/12/1986 16:40;NULL
275;11/04/1987 13:10;NULL
276;27/02/1988 14:45;NULL
277;22/03/1990 11:28;NULL
278;29/04/1992 12:40;NULL
279;09/12/1992 12:00;NULL
280;09/06/1990 17:30;NULL
281;30/06/1995 18:30;NULL
282;08/07/1986 09:10;NULL
283;29/03/1989 20:15;NULL
284;10/08/1985 06:55;NULL
285;17/06/1995 08:55;NULL
286;18/09/1995 13:25;NULL
287;15/10/1995 05:25;NULL
288;31/03/1988 09:40;NULL
289;08/10/1990 19:15;NULL
290;24/11/1986 18:50;NULL
291;13/11/1996 20:10;NULL
292;23/01/1984 08:30;NULL
293;14/02/1984 12:30;NULL
294;25/10/1990 13:20;NULL
295;19/01/1998 12:05;NULL
296;30/03/1994 19:25;NULL
297;18/05/1988 17:10;NULL
298;04/11/1992 11:45;NULL
299;05/05/1997 13:25;NULL
300;09/10/1992 13:55;NULL
301;08/09/1995 12:35;NULL
302;24/05/1984 01:00;NULL
303;28/03/1987 19:30;NULL
304;07/04/1986 18:35;NULL
305;20/09/1995 09:45;NULL
306;02/10/1984 15:00;NULL
307;20/05/1988 12:35;NULL
308;31/12/1995 19:20;NULL
309;27/11/1996 22:30;NULL
310;21/12/1993 18:10;NULL
311;22/05/1995 15:30;NULL
312;26/01/1997 17:55;NULL
313;07/02/1997 19:45;NULL
314;01/07/1985 17:45;NULL
315;24/08/1992 10:00;NULL
316;03/03/1993 06:15;NULL
317;04/06/1985 16:45;NULL
318;12/03/1984 18:10;NULL
319;20/12/1985 17:10;NULL
320;13/11/1986 08:35;NULL
321;05/05/1987 07:30;NULL
322;09/10/1989 13:25;NULL
323;24/01/1991 09:35;NULL
324;07/03/1991 15:10;NULL
325;19/03/1991 19:50;NULL
326;12/06/1992 21:30;NULL
327;02/05/1996 12:55;NULL
328;12/06/1997 19:30;NULL
329;03/06/1989 08:15;NULL
330;09/06/1984 09:00;NULL
331;30/03/1987 08:40;NULL
332;20/02/1992 09:00;NULL
333;10/05/1990 07:55;NULL
334;12/04/1994 12:24;NULL
335;24/02/1985 12:30;NULL
336;07/02/1993 01:30;NULL
337;14/09/1993 17:45;NULL
338;01/03/1996 21:30;NULL
339;06/12/1990 23:30;NULL
340;27/09/1994 22:15;NULL
341;02/03/1992 20:25;NULL
342;11/02/1993 08:30;NULL
343;03/09/1994 17:40;NULL
344;07/04/1984 16:10;NULL
345;14/05/1988 14:15;NULL
346;07/08/1993 17:50;NULL
347;16/02/1984 17:35;NULL
348;31/08/1993 22:07;NULL
349;18/12/1984 09:20;NULL
350;10/07/1990 18:55;NULL
351;07/01/1991 13:25;NULL
352;19/05/1997 02:05;Jour férié : Lundi de Pentecôte
353;06/07/1994 16:05;NULL
354;18/11/1985 17:30;NULL
355;03/04/1990 17:20;NULL
356;05/08/1995 15:40;NULL
357;28/01/1984 16:30;NULL
358;26/01/1993 17:45;NULL
